pane,fragment,Rep,mfr,element,ppm
AA,4,16,A,Fe,705
AA,4,16,A,Hf,1.413
AA,4,16,A,K,1281
AA,4,16,A,La,4.39
AA,4,16,A,Li,1.88
AA,4,16,A,Mg,23690
AA,4,16,A,Mn,18.41
AA,4,16,A,Na,102410
AA,4,16,A,Nd,3.8
AA,4,16,A,Pb,1.116
AA,4,16,A,Rb,2.29
AA,4,16,A,Sr,32.56
AA,4,16,A,Ti,181.7
AA,4,16,A,Zr,53.9
AA,4,17,A,Al,2975
AA,4,17,A,Ba,11.22
AA,4,17,A,Ca,65860
AA,4,17,A,Ce,9.45
AA,4,17,A,Fe,681
AA,4,17,A,Hf,1.49
AA,4,17,A,K,1273.8
AA,4,17,A,La,4.33
AA,4,17,A,Li,2.41
AA,4,17,A,Mg,23450
AA,4,17,A,Mn,18.16
AA,4,17,A,Na,102670
AA,4,17,A,Nd,3.64
AA,4,17,A,Pb,1.114
AA,4,17,A,Rb,2.09
AA,4,17,A,Sr,32.47
AA,4,17,A,Ti,176.5
AA,4,17,A,Zr,52.8
AA,4,18,A,Al,2953
AA,4,18,A,Ba,11.25
AA,4,18,A,Ca,65430
AA,4,18,A,Ce,9.52
AA,4,18,A,Fe,684
AA,4,18,A,Hf,1.33
AA,4,18,A,K,1281
AA,4,18,A,La,4.43
AA,4,18,A,Li,1.72
AA,4,18,A,Mg,23570
AA,4,18,A,Mn,18.82
AA,4,18,A,Na,103100
AA,4,18,A,Nd,3.53
AA,4,18,A,Pb,1.028
AA,4,18,A,Rb,2.17
AA,4,18,A,Sr,32.36
AA,4,18,A,Ti,179.4
AA,4,18,A,Zr,51.9
AA,4,19,A,Al,2961
AA,4,19,A,Ba,11.41
AA,4,19,A,Ca,65790
AA,4,19,A,Ce,10.04
AA,4,19,A,Fe,686
AA,4,19,A,Hf,1.224
AA,4,19,A,K,1288
AA,4,19,A,La,4.55
AA,4,19,A,Li,1.88
AA,4,19,A,Mg,23410
AA,4,19,A,Mn,19.19
AA,4,19,A,Na,103470
AA,4,19,A,Nd,3.59
AA,4,19,A,Pb,1.111
AA,4,19,A,Rb,2.36
AA,4,19,A,Sr,33.36
AA,4,19,A,Ti,188.5
AA,4,19,A,Zr,49.98
AA,4,20,A,Al,2903
AA,4,20,A,Ba,10.53
AA,4,20,A,Ca,64140
AA,4,20,A,Ce,9.56
AA,4,20,A,Fe,685
AA,4,20,A,Hf,1.252
AA,4,20,A,K,1272
AA,4,20,A,La,4.29
AA,4,20,A,Li,2.21
AA,4,20,A,Mg,23240
AA,4,20,A,Mn,18.39
AA,4,20,A,Na,102760
AA,4,20,A,Nd,3.59
AA,4,20,A,Pb,1.101
AA,4,20,A,Rb,1.95
AA,4,20,A,Sr,31.76
AA,4,20,A,Ti,179.9
AA,4,20,A,Zr,49.18
AA,5,1,A,Al,2906
AA,5,1,A,Ba,11.21
AA,5,1,A,Ca,64910
AA,5,1,A,Ce,9.65
AA,5,1,A,Fe,679
AA,5,1,A,Hf,1.313
AA,5,1,A,K,1274
AA,5,1,A,La,4.29
AA,5,1,A,Li,1.56
AA,5,1,A,Mg,23700
AA,5,1,A,Mn,18.46
AA,5,1,A,Na,103270
AA,5,1,A,Nd,3.85
AA,5,1,A,Pb,1.181
AA,5,1,A,Rb,2.06
AA,5,1,A,Sr,33.19
AA,5,1,A,Ti,178.8
AA,5,1,A,Zr,47.1
AA,5,2,A,Al,2784
AA,5,2,A,Ba,11.1
AA,5,2,A,Ca,63290
AA,5,2,A,Ce,9.51
AA,5,2,A,Fe,685
AA,5,2,A,Hf,1.3
AA,5,2,A,K,1267
AA,5,2,A,La,4.31
AA,5,2,A,Li,1.92
AA,5,2,A,Mg,23380
AA,5,2,A,Mn,17.73
AA,5,2,A,Na,101880
AA,5,2,A,Nd,3.45
AA,5,2,A,Pb,1.139
AA,5,2,A,Rb,2.28
AA,5,2,A,Sr,31.55
AA,5,2,A,Ti,177.7
AA,5,2,A,Zr,45.1
AA,5,3,A,Al,2796
AA,5,3,A,Ba,11.48
AA,5,3,A,Ca,64560
AA,5,3,A,Ce,9.74
AA,5,3,A,Fe,672
AA,5,3,A,Hf,1.27
AA,5,3,A,K,1285
AA,5,3,A,La,4.19
AA,5,3,A,Li,2.14
AA,5,3,A,Mg,23430
AA,5,3,A,Mn,18.65
AA,5,3,A,Na,102120
AA,5,3,A,Nd,3.58
AA,5,3,A,Pb,1.091
AA,5,3,A,Rb,2.17
AA,5,3,A,Sr,32.58
AA,5,3,A,Ti,175.9
AA,5,3,A,Zr,47.11
AA,5,4,A,Al,2585
AA,5,4,A,Ba,10.65
AA,5,4,A,Ca,59350
AA,5,4,A,Ce,9.32
AA,5,4,A,Fe,667
AA,5,4,A,Hf,1.192
AA,5,4,A,K,1200
AA,5,4,A,La,3.83
AA,5,4,A,Li,1.81
AA,5,4,A,Mg,22170
AA,5,4,A,Mn,18.24
AA,5,4,A,Na,99200
AA,5,4,A,Nd,3.55
AA,5,4,A,Pb,1.15
AA,5,4,A,Rb,2
AA,5,4,A,Sr,30.65
AA,5,4,A,Ti,171
AA,5,4,A,Zr,42.91
AA,5,5,A,Al,2841
AA,5,5,A,Ba,11.61
AA,5,5,A,Ca,62990
AA,5,5,A,Ce,9.52
AA,5,5,A,Fe,682
AA,5,5,A,Hf,1.296
AA,5,5,A,K,1219
AA,5,5,A,La,4.34
AA,5,5,A,Li,1.85
AA,5,5,A,Mg,22910
AA,5,5,A,Mn,18.4
AA,5,5,A,Na,99710
AA,5,5,A,Nd,3.71
AA,5,5,A,Pb,1.17
AA,5,5,A,Rb,1.92
AA,5,5,A,Sr,32.34
AA,5,5,A,Ti,175.2
AA,5,5,A,Zr,48.85
AA,6,1,A,Al,2737
AA,6,1,A,Ba,10.67
AA,6,1,A,Ca,63090
AA,6,1,A,Ce,9.74
AA,6,1,A,Fe,703
AA,6,1,A,Hf,1.2
AA,6,1,A,K,1243
AA,6,1,A,La,4.13
AA,6,1,A,Li,1.89
AA,6,1,A,Mg,23090
AA,6,1,A,Mn,18.15
AA,6,1,A,Na,101730
AA,6,1,A,Nd,3.51
AA,6,1,A,Pb,1.163
AA,6,1,A,Rb,2.08
AA,6,1,A,Sr,31.79
AA,6,1,A,Ti,177
AA,6,1,A,Zr,43.16
AA,6,2,A,Al,2770
AA,6,2,A,Ba,11.11
AA,6,2,A,Ca,63720
AA,6,2,A,Ce,9.76
AA,6,2,A,Fe,685
AA,6,2,A,Hf,1.055
AA,6,2,A,K,1242
AA,6,2,A,La,4.22
AA,6,2,A,Li,1.86
AA,6,2,A,Mg,23320
AA,6,2,A,Mn,18.14
AA,6,2,A,Na,102040
AA,6,2,A,Nd,3.56
AA,6,2,A,Pb,1.187
AA,6,2,A,Rb,2.13
AA,6,2,A,Sr,32.69
AA,6,2,A,Ti,174.4
AA,6,2,A,Zr,42.31
AA,6,3,A,Al,2725
AA,6,3,A,Ba,11.36
AA,6,3,A,Ca,62530
AA,6,3,A,Ce,9.51
AA,6,3,A,Fe,667
AA,6,3,A,Hf,1.22
AA,6,3,A,K,1254.3
AA,6,3,A,La,4.18
AA,6,3,A,Li,1.77
AA,6,3,A,Mg,23000
AA,6,3,A,Mn,17.94
AA,6,3,A,Na,102480
AA,6,3,A,Nd,3.43
AA,6,3,A,Pb,1.178
AA,6,3,A,Rb,2.15
AA,6,3,A,Sr,31.1
AA,6,3,A,Ti,173.3
AA,6,3,A,Zr,43.7
AA,6,4,A,Al,2683
AA,6,4,A,Ba,10.74
AA,6,4,A,Ca,62590
AA,6,4,A,Ce,9.68
AA,6,4,A,Fe,670
AA,6,4,A,Hf,1.161
AA,6,4,A,K,1255
AA,6,4,A,La,4.09
AA,6,4,A,Li,1.69
AA,6,4,A,Mg,23150
AA,6,4,A,Mn,18.55
AA,6,4,A,Na,101700
AA,6,4,A,Nd,3.52
AA,6,4,A,Pb,1.233
AA,6,4,A,Rb,2.09
AA,6,4,A,Sr,31.87
AA,6,4,A,Ti,170.7
AA,6,4,A,Zr,43.94
AA,6,5,A,Al,2707
AA,6,5,A,Ba,10.81
AA,6,5,A,Ca,63770
AA,6,5,A,Ce,9.55
AA,6,5,A,Fe,680
AA,6,5,A,Hf,1.32
AA,6,5,A,K,1260
AA,6,5,A,La,4.06
AA,6,5,A,Li,2.26
AA,6,5,A,Mg,23170
AA,6,5,A,Mn,18.09
AA,6,5,A,Na,102180
AA,6,5,A,Nd,3.62
AA,6,5,A,Pb,1.164
AA,6,5,A,Rb,2.13
AA,6,5,A,Sr,31.66
AA,6,5,A,Ti,175
AA,6,5,A,Zr,48.6
AA,7,1,A,Al,3001
AA,7,1,A,Ba,11.4
AA,7,1,A,Ca,65570
AA,7,1,A,Ce,9.77
AA,7,1,A,Fe,680
AA,7,1,A,Hf,1.32
AA,7,1,A,K,1270
AA,7,1,A,La,4.36
AA,7,1,A,Li,2.07
