"","x","y"
"1596",206,440
"1597",206,436
"1598",206,433
"1599",206,429
"1600",206,424
"1601",206,423
"1602",206,422
"1603",206,413
"1604",206,412
"1605",206,409
"1606",206,408
"1607",206,403
"1608",206,399
"1609",206,398
"1610",206,394
"1611",206,393
"1612",206,389
"1613",206,385
"1614",206,361
"1615",206,360
"1616",206,356
"1617",206,342
"1618",206,310
"1619",206,297
"1620",206,263
"1621",206,187
"1622",206,186
"1623",206,185
"1624",206,184
"1626",205,640
"1627",205,639
"1628",205,636
"1629",205,610
"1630",205,605
"1631",205,597
"1632",205,595
"1633",205,580
"1634",205,571
"1635",205,570
"1636",205,569
"1637",205,560
"1638",205,557
"1639",205,554
"1640",205,544
"1641",205,506
"1642",205,457
"1643",205,454
"1644",205,452
"1645",205,449
"1646",205,446
"1647",205,443
"1648",205,440
"1649",205,436
"1650",205,432
"1651",205,431
"1652",205,428
"1653",205,427
"1654",205,411
"1655",205,407
"1656",205,406
"1657",205,402
"1658",205,401
"1659",205,397
"1660",205,392
"1661",205,391
"1662",205,388
"1663",205,387
"1664",205,386
"1665",205,385
"1666",205,359
"1667",205,355
"1668",205,342
"1669",205,309
"1670",205,297
"1671",205,262
"1672",205,189
"1673",205,188
"1675",204,643
"1676",204,642
"1677",204,641
"1678",204,638
"1679",204,636
"1680",204,610
"1681",204,605
"1682",204,596
"1683",204,594
"1684",204,579
"1685",204,578
"1686",204,568
"1687",204,567
"1688",204,566
"1689",204,565
"1690",204,559
"1691",204,556
"1692",204,554
"1693",204,544
"1694",204,506
"1695",204,479
"1696",204,478
"1697",204,477
"1698",204,457
"1699",204,455
"1700",204,452
"1701",204,449
"1702",204,446
"1703",204,443
"1704",204,440
"1705",204,436
"1706",204,430
"1707",204,426
"1708",204,425
"1709",204,410
"1710",204,409
"1711",204,405
"1712",204,400
"1713",204,399
"1714",204,396
"1715",204,395
"1716",204,394
"1717",204,390
"1718",204,389
"1719",204,385
"1720",204,383
"1721",204,382
"1722",204,381
"1723",204,358
"1724",204,357
"1725",204,356
"1726",204,341
"1727",204,309
"1728",204,296
"1729",204,262
"1730",204,193
"1731",204,192
"1732",204,191
"1733",204,190
"1735",203,647
"1736",203,646
"1737",203,645
"1738",203,644
"1739",203,638
"1740",203,636
"1741",203,610
"1742",203,606
"1743",203,605
"1744",203,596
"1745",203,594
"1746",203,577
"1747",203,564
"1748",203,563
"1749",203,559
"1750",203,556
"1751",203,555
"1752",203,554
"1753",203,544
"1754",203,507
"1755",203,477
"1756",203,473
"1757",203,456
"1758",203,452
"1759",203,449
"1760",203,447
"1761",203,443
"1762",203,439
"1763",203,438
"1764",203,435
"1765",203,434
"1766",203,429
"1767",203,428
"1768",203,424
"1769",203,414
"1770",203,413
"1771",203,408
"1772",203,407
"1773",203,404
"1774",203,403
"1775",203,398
"1776",203,397
"1777",203,393
"1778",203,392
"1779",203,388
"1780",203,387
"1781",203,381
"1782",203,341
"1783",203,309
"1784",203,296
"1785",203,266
"1786",203,265
"1787",203,264
"1788",203,263
"1789",203,194
"1791",202,649
"1792",202,648
"1793",202,637
"1794",202,635
"1795",202,611
"1796",202,606
"1797",202,595
"1798",202,593
